IST Url,IST Title,OPB Url,Amazon URL,Target URL,Retail Price,OPB Status,OPB Current Price,IST Status,IST Current Price,Amazon Status,Amazon Current Price,Target Status,Target Current Price,Min Current Price,All time Low Price,Target Doc Name,Last Updated
https://www.instocktrades.com/products/jun120280/american-vampire-tp-vol-03-(mr),American Vampire TP Vol 03 (MR),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/aug140356/american-vampire-tp-vol-06-(mr),American Vampire TP Vol 06 (MR),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/mar170449/american-way-10th-anniversary-edition-tp-(mr),American Way 10th Anniversary Edition TP (MR),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jan180417/american-way-those-above-and-below-tp-(mr),American Way Those Above and Below TP (MR),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jun217058/amethyst-princess-of-gemworld-tp,Amethyst Princess of Gemworld TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/nov207082/amethyst-tp,Amethyst TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/sep180532/animal-man-by-grant-morrison-hc-book-01-30th-anniv-dlx-ed,Animal Man By Grant Morrison HC Book 01 30th Anniv DLX Ed,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/mar208198/animal-man-by-grant-morrison-hc-book-02-30th-anniv-dlx-ed,Animal Man By Grant Morrison HC Book 02 30th Anniv DLX Ed,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/apr190524/animal-man-by-jeff-lemire-omnibus-hc,Animal Man By Jeff Lemire Omnibus HC,https://organicpricedbooks.com/products/animal-man-by-jeff-lemire-omnibus,,,,,,,,,,,,,,Animal Man by Jeff Lemire Omnibus,
https://www.instocktrades.com/products/apr227179/animal-man-omnibus-hc-(2022-edition)-(mr),Animal Man Omnibus HC (2022 Edition) (MR),https://organicpricedbooks.com/products/animal-man-omnibus-hc-2022-edition-mr-in-store-8-23-2022,,,,,,,,,,,,,,,
